file_name,AUROC,AUPRC,VUS-ROC,VUS-PR
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.2723512031083718,0.0041929833340990565,0.2977090497306925,0.004547297064724361
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.5283858215801783,0.014660776779494882,0.5512439776755117,0.01583219832136135
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.18107139394630647,0.0041973792222649315,0.2082527144281796,0.00445639179854816
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.23325699691060736,0.006189556141335736,0.2640052310195956,0.006709665218653702
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.3945541680254486,0.004253007060996698,0.4108905870287632,0.004452957317478287
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.3959534709415786,0.0074278869171284885,0.4212606614959403,0.00800591192171209
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.40698832041615124,0.02382941553324155,0.42290949732418814,0.025057338637555236
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.5110607277491287,0.009994223229722932,0.52654334956255,0.01062082992776189
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.5782930481022917,0.00979311083843327,0.5942060633532226,0.010385521384089144
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.5959946901815244,0.039877539489380616,0.6096717936505841,0.04219835139644501
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.5848838402619408,0.02289233282033865,0.6011286623146698,0.024473130183460815
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.6081751574919367,0.023305712773366058,0.6283592539000652,0.025388661095146887
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.42851279352031113,0.008265857191071964,0.4487294437370909,0.00875555689911282
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.30610133796307326,0.0068186343527309925,0.3327326221809413,0.007268144091750177
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.4277693013042078,0.007847724980478954,0.4474914842385426,0.008851380893407009
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.5738325681795149,0.011009310331683637,0.5898806415686326,0.01195583850223796
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.10410725532090806,0.0031916704411267473,0.13101554726931974,0.0034749932427245492
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.5492928450162228,0.005688107425088562,0.5578129711300815,0.005974291377805403
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.5625310928064575,0.007514552106994479,0.5800718696101639,0.00837716579958717
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.3941311985447715,0.00799624588207524,0.4091447044145577,0.008436513321449306
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.3358144249760909,0.004575913575584812,0.3570490890243396,0.00484110923356538
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.6044310917457343,0.02006985302607686,0.622396332542523,0.021668070373874217
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.40273667924256085,0.009619989664257027,0.42433336132279376,0.010268983312613927
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.34520669835707846,0.009315237736881851,0.3674290664373721,0.009785632286638365
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.325041381656766,0.010373659260084264,0.3452513226516892,0.010972010027866824
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.3147681097131844,0.006905036262896531,0.34079164240733395,0.00734985465274368
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.3380616352329113,0.007055084287391301,0.36501485946090817,0.007544991725704114
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.27018421716855456,0.00642853614598921,0.3006733787822647,0.006987749092291569
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.4155701872653486,0.008279707808630249,0.43533868916509333,0.008838156170238944
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.49083358244850667,0.013358278944461064,0.5144660151641741,0.014412032243951215
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.3945521170652633,0.009446954603603666,0.4168117394149614,0.010072718769609058
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.4179808382017913,0.008108833229341458,0.4394657263679096,0.008617796301291603
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.3976490383920228,0.007595865868578334,0.4200070505637617,0.00854893331266842
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.2718630496623888,0.004113301477556925,0.2959768613007908,0.004478499207481148
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.28494313174030006,0.008464816166840493,0.308941380142137,0.008897767795734484
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.4074579640800393,0.008150143553011486,0.422957683890714,0.008607413934024347
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.48781150251749394,0.008193357850362484,0.5080308201248045,0.008650866564463506
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.14641574742611316,0.003243121629157826,0.17333682205350773,0.0034313913915519413
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.44542343154031777,0.008387992449629338,0.4687020513005848,0.009285200966439325
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.3888200943761785,0.007215745389513315,0.4171822688683639,0.00785218011898535
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.4045542890412662,0.00566807587686711,0.4275747618773319,0.006473403268030311
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.2689721523670774,0.00943568682818573,0.2914319158626232,0.009982417744946398
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.504262795012886,0.018201156665265106,0.5280714114316147,0.019745707857961356
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.3317375927940922,0.02107139887855064,0.34934084683264405,0.022223495035901344
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.1989930690814575,0.004093640184769688,0.22744344723991883,0.004452837205055054
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.3086893757127715,0.004300731916633024,0.3318617426247341,0.004577470083523639
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.5460288142768217,0.005573523736743753,0.5550139906005433,0.005871838674659889
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.5244328709919313,0.03391721048241412,0.5412745926641588,0.03602383342689946
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.46862717749342186,0.017829134330421045,0.48560067823524694,0.01896561850838138
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.3185868448378644,0.0037411907244930148,0.33888921627528923,0.003923497617594263
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.5270472161340336,0.016592706354604088,0.5477715668521811,0.017922937521380772
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.27102301160555115,0.006393636296874223,0.29656454417859873,0.006802433067487389
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.2500020316034346,0.006257338337296429,0.27972692940126753,0.006826488397062075
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.16085498410750804,0.005971999010364092,0.18474306804822327,0.006559062222700887
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.29436329579698667,0.009807430014414854,0.31957763960044844,0.010486107134825104
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.30336419699639117,0.008466248494104803,0.3250599297532243,0.009601938525439984
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.31235107133452594,0.006870992749732634,0.3365262887654883,0.007300104076025809
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.4774692884033801,0.009224410594147378,0.49963715875368514,0.01070741359324899
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.2241487959532767,0.0038523460891505172,0.24894877064272378,0.004269779501795656
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.28525694566332893,0.008710774266538227,0.30626120409412627,0.009742510312962386
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.25812337274587127,0.006388235703803984,0.28409263907112015,0.006934389147011577
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.3989887888144985,0.007830945753690833,0.4097621381258044,0.008811694267460578
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.2330199554489677,0.0035084849401940637,0.2559213167232022,0.0038661476532752133
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.1881536536358947,0.005814038327212953,0.2156407401682732,0.0064305328665578915
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.22940372664471226,0.005771244495749804,0.2624486942428316,0.006561271059041885
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.34461054574986955,0.015383580595322868,0.3638879984058223,0.008065889030221776
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.1559177212514793,0.00822779773422418,0.17712129696414072,0.008978661716026086
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.40393427226428363,0.015092478030009491,0.42970621038275475,0.016248273210837702
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.2156914499673208,0.017889413650662076,0.23649767873837027,0.01901664473002751
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.29962498071585425,0.0046682880465575925,0.3229232029005529,0.005118323877398452
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.21493354399932268,0.003808419341762063,0.23899115939883742,0.00433440896825823
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.09294968831061401,0.0029558118194867376,0.10963654488679375,0.0032701840670827645
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.2972942221889463,0.023712010202926646,0.3152930875089907,0.025586480883414805
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.37423802454527944,0.015531185230904618,0.38916664367082077,0.016710848411645888
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.22581913511391133,0.003280545403094519,0.2519568189230155,0.003666239309789166
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.2713430202469035,0.011113388473541416,0.2922712775676877,0.012304306835393184
032_GHL_id_1_Sensor_tr_50000_1st_65001,0.4844365461610383,0.009635958502594555,0.5069283567233905,0.01066911479392143
033_GHL_id_2_Sensor_tr_50000_1st_51001,0.41406485834855505,0.00790773767147231,0.4438091600243608,0.008681303566817782
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.5614202447234655,0.01100269786137318,0.5787149139943916,0.011712214351406448
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.5452830863163659,0.0150191931266223,0.5659565543145835,0.016325867705169285
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.3561549624280612,0.008924714592221963,0.38129693643063367,0.00964169179860615
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.35462540287691413,0.007252377729086188,0.380227602635047,0.007993048249911802
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.39750022391985507,0.00719479068635241,0.4175388579225471,0.007777212293232732
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.4689649471317428,0.005706249896904403,0.4907972658043243,0.006203412982374977
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.36504563218056085,0.009436222581406315,0.3893576778066574,0.010133496038023071
041_GHL_id_10_Sensor_tr_50000_1st_57001,0.4556860763195445,0.008623318200760649,0.4768617402386825,0.00931489645502794
042_GHL_id_11_Sensor_tr_50000_1st_150001,0.5145535836325181,0.008458495704432367,0.5319023616849718,0.009188265266372645
043_GHL_id_12_Sensor_tr_39938_1st_40038,0.4591041143109623,0.0051704913458461114,0.48401465038891184,0.005632316527969497
044_GHL_id_13_Sensor_tr_50000_1st_145001,0.6464037090512897,0.013187540420453052,0.6601195541527656,0.014129360237457566
045_GHL_id_14_Sensor_tr_50000_1st_85076,0.44251467303508024,0.007878235573726574,0.4733484989958125,0.00873834128703737
046_GHL_id_15_Sensor_tr_50000_1st_156462,0.6669236714871674,0.034039299171835916,0.6834334993637855,0.020722942971286913
047_GHL_id_16_Sensor_tr_50000_1st_77001,0.41930133796485636,0.011682578452761137,0.4460684195449516,0.012656027487840638
048_GHL_id_17_Sensor_tr_50000_1st_154001,0.4996641052247822,0.018160453315910548,0.5247871865659995,0.019943444853823825
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.4792545035301792,0.026609767590816374,0.4967350850141648,0.028010912569734703
050_GHL_id_19_Sensor_tr_43750_1st_55001,0.6676052712709764,0.009797212209384808,0.6822830839398243,0.010824574145233079
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.3883486268558472,0.004905902006409833,0.411415696457006,0.005238519584022513
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.6700716120220577,0.007870676903471782,0.6813023080723714,0.008636770299393411
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.6178802955800089,0.04269488261646485,0.6363632691467542,0.0455994788986836
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.45718206246914656,0.017080172575954043,0.47551830367518355,0.018307852517914044
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.3785516810668762,0.004178242792657902,0.4036376691310761,0.0045026584638011066
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.6314041978913083,0.021787845048275644,0.6500522663013167,0.023451965376892443
